Sport,TotPkts,TotBytes,SrcPkts,DstPkts,SrcBytes,service,flag,protocol_type,count,srv_count,dst_host_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_bytes,class
55043,20,1276,10,10,644,http,SF,tcp,2,3,10,1,0,9165,0
55044,20,1276,10,10,644,http,SF,tcp,21,21,21,1,0,2243,0
55045,20,1276,10,10,644,http,REJ,tcp,1,1,23,1,0,0,0
143,2,180,2,0,180,http,SF,tcp,3,7,255,0.99,0.01,301,0
133,2,124,2,0,124,smtp,SF,tcp,2,2,255,0.6,0.03,335,0
55046,18,1152,10,8,644,http,REJ,tcp,1,1,6,1,0,0,0
55047,18,1152,10,8,644,http,SF,tcp,1,1,3,1,0,511,0
55048,18,1152,10,8,644,http,SF,tcp,4,5,107,1,0,431,0
55050,18,1152,10,8,644,private,RSTR,tcp,2,2,255,0.01,0.69,0,1
55051,18,1152,10,8,644,Z39_50,REJ,tcp,110,17,255,0.07,0.07,0,1
55049,18,1152,10,8,644,private,SF,udp,4,1,255,0.94,0.01,145,0
55052,18,1152,10,8,644,http,SF,tcp,6,6,6,1,0,974,0
55053,18,1152,10,8,644,http,SF,tcp,7,7,107,1,0,2649,0
55056,20,1276,10,10,644,uucp_path,REJ,tcp,246,20,255,0.08,0.07,0,1
55057,20,1276,10,10,644,bgp,REJ,tcp,272,19,255,0.07,0.08,0,1
55055,20,1276,10,10,644,csnet_ns,S0,tcp,259,8,255,0.03,0.08,0,1
55054,20,1276,10,10,644,http,SF,tcp,9,10,255,0.98,0.01,275,0
55058,20,1276,10,10,644,bgp,S0,tcp,294,6,255,0.03,0.07,0,1
55059,20,1276,10,10,644,finger,SF,tcp,1,1,195,0.03,0.03,138,0
55060,20,1276,10,10,644,domain_u,SF,udp,96,178,255,1,0.01,46,0
55061,20,1276,10,10,644,smtp,SF,tcp,1,1,138,0.57,0.03,334,0
55063,18,1152,10,8,644,domain_u,SF,udp,79,159,255,1,0.01,139,0
55062,18,1152,10,8,644,ftp,SF,tcp,1,1,176,0.28,0.02,903,0
55064,18,1152,10,8,644,private,S0,tcp,190,20,255,0.08,0.08,0,1
55065,18,1152,10,8,644,ldap,REJ,tcp,135,5,255,0,0.07,0,1
55066,18,1152,10,8,644,http,SF,tcp,2,2,2,1,0,138,0
55067,18,1152,10,8,644,http,SF,tcp,1,1,5,1,0,1357,0
55068,18,1152,10,8,644,private,S0,tcp,123,7,255,0.03,0.08,0,1
55069,18,1152,10,8,644,supdup,S0,tcp,245,20,255,0.03,0.07,0,1
55070,20,1276,10,10,644,other,SF,udp,3,1,255,0,0.61,0,0
55072,20,1276,10,10,644,http,SF,tcp,3,4,94,1,0,1011,0
55071,20,1276,10,10,644,ecr_i,SF,icmp,263,263,255,1,0,0,1
55075,20,1276,10,10,644,private,S0,tcp,109,13,255,0.03,0.06,0,1
55077,20,1276,10,10,644,http,SF,tcp,9,9,255,1,0,8412,0
55076,20,1276,10,10,644,bgp,REJ,tcp,145,8,255,0.03,0.09,0,1
55074,20,1276,10,10,644,netbios_dgm,REJ,tcp,250,2,255,0.01,0.07,0,1
55073,20,1276,10,10,644,http,SF,tcp,8,8,108,1,0,1719,0
55079,18,1152,10,8,644,http,SF,tcp,2,3,50,1,0,981,0
55080,18,1152,10,8,644,http,SF,tcp,2,2,11,1,0,10352,0
55078,18,1152,10,8,644,gopher,SH,tcp,1,1,255,0,1,0,1
55081,18,1152,10,8,644,http,SF,tcp,3,3,31,1,0,16096,0
55082,18,1152,10,8,644,ftp_data,SF,tcp,2,2,6,1,0,0,1
55084,18,1152,10,8,644,telnet,S0,tcp,13,4,255,0.25,0.02,0,1
55083,18,1152,10,8,644,private,S0,tcp,87,1,255,0,0.06,0,1
55085,18,1152,10,8,644,http,SF,tcp,2,2,27,1,0,283,0
55086,20,1276,10,10,644,vmnet,S0,tcp,292,13,255,0.05,0.08,0,1
55087,20,1276,10,10,644,systat,S0,tcp,295,18,255,0,0.08,0,1
55089,20,1276,10,10,644,http_443,S0,tcp,143,15,255,0.06,0.05,0,1
55088,20,1276,10,10,644,domain_u,SF,udp,278,277,255,1,0.01,78,0
55090,20,1276,10,10,644,ftp_data,SF,tcp,1,1,6,0.83,0.33,0,0
55092,20,1276,10,10,644,efs,S0,tcp,102,19,255,0.07,0.06,0,1
55091,20,1276,10,10,644,eco_i,SF,icmp,1,46,1,1,0,0,1
55093,20,1276,10,10,644,whois,S0,tcp,251,3,255,0.01,0.08,0,1
55094,18,1152,10,8,644,http,SF,tcp,4,4,83,1,0,8437,0
55096,18,1152,10,8,644,ftp_data,SF,tcp,2,2,185,0.5,0.38,0,0
55095,18,1152,10,8,644,domain_u,SF,udp,222,302,255,0.99,0.01,128,0
55097,18,1152,10,8,644,ftp_data,SF,tcp,2,2,255,0.02,0.02,0,0
55098,18,1152,10,8,644,remote_job,S0,tcp,260,4,255,0.02,0.07,0,1
55099,18,1152,10,8,644,other,RSTR,tcp,2,2,255,0.01,0.74,0,1
55100,18,1152,10,8,644,finger,SF,tcp,1,1,196,0.03,0.03,135,0
55101,18,1152,10,8,644,http,SF,tcp,1,6,94,1,0,529,0
55103,20,1276,10,10,644,ftp_data,SF,tcp,3,2,99,0.32,0.06,0,0
55104,20,1276,10,10,644,http,SF,tcp,11,12,69,1,0,465,0
55105,20,1276,10,10,644,gopher,S0,tcp,44,12,255,0.05,0.08,0,1
55102,20,1276,10,10,644,http,SF,tcp,2,7,18,1,0,6834,0
55106,20,1276,10,10,644,ecr_i,SF,icmp,511,511,255,0.83,0.02,0,1
55108,20,1276,10,10,644,imap4,REJ,tcp,272,15,255,0.06,0.07,0,1
55109,20,1276,10,10,644,private,S0,tcp,122,19,255,0.07,0.05,0,1
55107,20,1276,10,10,644,whois,S0,tcp,287,3,255,0.01,0.05,0,1
55111,18,1152,10,8,644,http,REJ,tcp,1,3,118,1,0,0,0
55112,18,1152,10,8,644,other,REJ,tcp,486,1,255,0,0.91,0,1
55110,18,1152,10,8,644,other,SF,udp,22,6,255,0.02,0.06,0,1
55113,18,1152,10,8,644,iso_tsap,S0,tcp,286,9,255,0.04,0.07,0,1
55114,18,1152,10,8,644,ecr_i,SF,icmp,1,1,247,1,0,0,0
55115,18,1152,10,8,644,smtp,SF,tcp,1,2,89,0.31,0.03,333,0
55116,18,1152,10,8,644,ftp_data,SF,tcp,1,1,201,0.02,0.04,0,0
55117,18,1152,10,8,644,smtp,SF,tcp,1,1,163,0.36,0.02,329,0
55118,20,1276,10,10,644,private,SF,udp,35,34,255,0.13,0.02,0,1
55120,20,1276,10,10,644,ftp_data,S0,tcp,28,2,255,0.16,0.03,0,1
55119,20,1276,10,10,644,private,S0,tcp,108,18,255,0.07,0.07,0,1
55121,20,1276,10,10,644,private,S0,tcp,101,5,255,0.06,0.07,0,1
55122,20,1276,10,10,644,smtp,SF,tcp,1,2,255,0.39,0.17,364,0
55123,20,1276,10,10,644,http,SF,tcp,12,21,172,1,0,656,0
55124,20,1276,10,10,644,ftp,SF,tcp,1,2,255,0.56,0.02,1185,1
55125,20,1276,10,10,644,http,SF,tcp,10,10,32,1,0,2470,0
55127,18,1152,10,8,644,private,S0,tcp,223,10,255,0.04,0.05,0,1
55129,18,1152,10,8,644,echo,S0,tcp,223,17,255,0.07,0.06,0,1
55126,18,1152,10,8,644,http,SF,tcp,19,34,44,1,0,1938,0
55128,18,1152,10,8,644,http,SF,tcp,4,7,11,1,0,4781,0
55130,18,1152,10,8,644,ftp_data,SF,tcp,1,1,205,0.19,0.02,0,0
55131,18,1152,10,8,644,http,SF,tcp,5,6,41,1,0,11564,0
55132,18,1152,10,8,644,private,REJ,tcp,406,1,255,0,0.52,0,1
55133,18,1152,10,8,644,http,SF,tcp,4,5,255,1,0,2445,0
55134,20,1276,10,10,644,http,SF,tcp,6,6,255,1,0,426,0
55135,20,1276,10,10,644,klogin,S0,tcp,143,14,255,0.05,0.06,0,1
55136,20,1276,10,10,644,http,SF,tcp,17,17,202,1,0,762,0
55137,18,1152,10,8,644,smtp,SF,tcp,1,1,255,0.08,0.02,575,0
55138,18,1152,10,8,644,smtp,SF,tcp,1,1,214,0.63,0.02,330,0
55139,18,1152,10,8,644,smtp,SF,tcp,2,1,28,0.71,0.11,326,0
55140,18,1152,10,8,644,uucp_path,S0,tcp,201,18,255,0.07,0.07,0,1
55141,18,1152,10,8,644,http,SF,tcp,1,1,16,1,0,34660,0
55144,18,1152,10,8,644,http,SF,tcp,4,5,255,0.94,0.01,2698,0
55142,20,1276,10,10,644,netbios_ns,S0,tcp,124,19,255,0.07,0.05,0,1
55143,20,1276,10,10,644,private,REJ,tcp,162,1,255,0,0.8,0,1
55145,20,1276,10,10,644,ecr_i,SF,icmp,2,4,2,1,0,0,1
55147,20,1276,10,10,644,iso_tsap,S0,tcp,277,17,255,0.07,0.07,0,1
55146,20,1276,10,10,644,http,SF,tcp,4,4,255,1,0,8549,0
55148,20,1276,10,10,644,link,S0,tcp,274,22,255,0.09,0.05,0,1
55149,20,1276,10,10,644,sunrpc,S0,tcp,141,12,255,0.06,0.06,0,1
55152,18,1152,10,8,644,http,SF,tcp,3,3,128,1,0,6008,0
55151,18,1152,10,8,644,http,SF,tcp,8,23,37,1,0,1411,0
55153,18,1152,10,8,644,http,SF,tcp,1,1,34,1,0,12984,0
55150,18,1152,10,8,644,smtp,SF,tcp,1,3,193,0.68,0.02,449,0
55154,18,1152,10,8,644,http,SF,tcp,10,11,39,1,0,449,0
55155,18,1152,10,8,644,login,S0,tcp,103,3,255,0.01,0.07,0,1
55156,18,1152,10,8,644,ftp_data,SF,tcp,1,1,3,1,0,0,1
55157,18,1152,10,8,644,finger,S0,tcp,246,20,255,0.08,0.07,0,1
55159,20,1276,10,10,644,eco_i,SF,icmp,1,50,1,1,0,0,1
55160,20,1276,10,10,644,http,SF,tcp,7,7,29,1,0,169,0
55158,20,1276,10,10,644,http,SF,tcp,32,34,101,1,0,304,0
55161,20,1276,10,10,644,kshell,S0,tcp,125,24,255,0.09,0.05,0,1
55162,20,1276,10,10,644,ftp_data,SF,tcp,8,8,255,0.17,0.02,0,0
55163,20,1276,10,10,644,http,SF,tcp,2,2,2,1,0,12884,0
55164,20,1276,10,10,644,smtp,SF,tcp,1,3,255,0.62,0.02,328,0
55165,20,1276,10,10,644,http,SF,tcp,6,6,38,1,0,955,0
55169,18,1152,10,8,644,urp_i,SF,icmp,9,2,255,0.06,0.01,0,0
55167,18,1152,10,8,644,private,SF,udp,4,4,255,0.28,0.01,0,1
55166,18,1152,10,8,644,domain_u,SF,udp,171,173,255,0.91,0.01,77,0
55168,18,1152,10,8,644,ftp,RSTO,tcp,250,3,255,0.01,0.07,0,1
55170,18,1152,10,8,644,auth,S0,tcp,238,7,255,0.03,0.07,0,1
55171,18,1152,10,8,644,kshell,S0,tcp,102,2,255,0.01,0.06,0,1
55173,18,1152,10,8,644,finger,SF,tcp,1,1,235,0.05,0.03,142,0
55172,18,1152,10,8,644,http,SF,tcp,2,2,75,1,0,912,0
55177,20,1276,10,10,644,http,SF,tcp,2,10,73,1,0,1789,0
55174,20,1276,10,10,644,eco_i,SF,icmp,1,1,1,1,0,0,1
55175,20,1276,10,10,644,vmnet,S0,tcp,281,2,255,0.01,0.07,0,1
55176,20,1276,10,10,644,telnet,S0,tcp,30,2,255,0.2,0.03,0,1
55178,20,1276,10,10,644,ftp_data,S0,tcp,276,8,255,0.03,0.06,0,1
55179,20,1276,10,10,644,http,SF,tcp,5,5,212,0.88,0.02,1380,0
55180,20,1276,10,10,644,private,S0,tcp,163,9,255,0.04,0.1,0,1
55181,20,1276,10,10,644,eco_i,SF,icmp,1,21,2,1,0,0,1
55182,18,1152,10,8,644,private,S0,tcp,301,20,255,0.07,0.05,0,1
55185,18,1152,10,8,644,http,SF,tcp,28,28,255,1,0,870,0
55184,18,1152,10,8,644,eco_i,SF,icmp,1,23,1,1,0,0,1
55183,18,1152,10,8,644,telnet,SF,tcp,1,1,117,0.01,0.04,1468,0
55186,18,1152,10,8,644,http,SF,tcp,16,16,64,1,0,1423,0
55188,18,1152,10,8,644,other,RSTR,tcp,2,2,255,0.01,0.74,0,1
55187,18,1152,10,8,644,sql_net,SH,tcp,1,1,255,0,1,0,1
55189,18,1152,10,8,644,ecr_i,SF,icmp,46,46,255,0.18,0.02,0,1
55191,20,1276,10,10,644,http,SF,tcp,1,2,230,1,0,9551,0
55192,20,1276,10,10,644,http,SF,tcp,39,39,137,1,0,864,0
55193,20,1276,10,10,644,private,RSTR,tcp,1,1,255,0,0.38,0,1
55190,20,1276,10,10,644,http,SF,tcp,6,6,13,1,0,10369,0
55194,20,1276,10,10,644,vmnet,S0,tcp,211,22,255,0.09,0.05,0,1
55196,20,1276,10,10,644,smtp,SF,tcp,1,1,27,0.74,0.11,330,0
55195,20,1276,10,10,644,http,SF,tcp,12,12,230,1,0,6924,0
55197,20,1276,10,10,644,mtp,REJ,tcp,280,11,255,0.04,0.07,0,1
55198,18,1152,10,8,644,http,SF,tcp,1,4,5,1,0,709,0
55201,18,1152,10,8,644,http,SF,tcp,17,35,127,1,0,851,0
55199,18,1152,10,8,644,http,SF,tcp,6,6,255,1,0,3360,0
55200,18,1152,10,8,644,smtp,SF,tcp,1,1,106,0.41,0.04,328,0
55203,18,1152,10,8,644,eco_i,SF,icmp,1,44,1,1,0,0,1
55205,18,1152,10,8,644,csnet_ns,S0,tcp,201,1,255,0.02,0.07,0,1
55202,18,1152,10,8,644,http,SF,tcp,3,3,255,1,0,1483,0
55204,18,1152,10,8,644,auth,REJ,tcp,276,14,255,0.05,0.07,0,1
55209,20,1276,10,10,644,http,REJ,tcp,1,1,7,1,0,0,0
55208,20,1276,10,10,644,domain_u,SF,udp,145,225,255,1,0,134,0
55207,20,1276,10,10,644,http,SF,tcp,1,1,1,1,0,2719,0
55206,20,1276,10,10,644,http,SF,tcp,8,8,45,1,0,771,0
55211,20,1276,10,10,644,vmnet,S0,tcp,258,10,255,0.04,0.05,0,1
55212,20,1276,10,10,644,private,S0,tcp,256,12,255,0.04,0.07,0,1
55210,20,1276,10,10,644,telnet,SF,tcp,1,1,251,0.45,0.01,9598,0
55213,20,1276,10,10,644,http,SF,tcp,12,12,255,1,0,651,0
55215,18,1152,10,8,644,http,SF,tcp,26,44,255,1,0,447,0
55216,18,1152,10,8,644,http,S0,tcp,14,6,94,0.28,0.04,0,1
55214,18,1152,10,8,644,ftp_data,SF,tcp,2,2,11,0.36,0.27,0,0
55218,18,1152,10,8,644,http,SF,tcp,30,31,77,1,0,1951,0
55219,18,1152,10,8,644,bgp,S0,tcp,138,25,255,0.1,0.05,0,1
55217,18,1152,10,8,644,domain_u,SF,udp,4,6,255,0.96,0.01,42,0
55220,18,1152,10,8,644,ftp,S0,tcp,300,7,255,0.03,0.07,0,1
55221,18,1152,10,8,644,time,S0,tcp,199,9,255,0.04,0.07,0,1
55222,20,1276,10,10,644,http,SF,tcp,15,15,255,1,0,453,0
55224,20,1276,10,10,644,private,RSTR,tcp,2,2,255,0.01,0.5,0,1
55223,20,1276,10,10,644,ftp,RSTO,tcp,1,1,212,0.2,0.02,0,0
55225,20,1276,10,10,644,private,S0,tcp,144,15,255,0.12,0.06,0,1
55227,20,1276,10,10,644,sql_net,S0,tcp,104,4,255,0.07,0.07,0,1
55226,20,1276,10,10,644,http,SF,tcp,18,18,18,1,0,1980,0
55228,20,1276,10,10,644,http,SF,tcp,2,2,2,1,0,5530,0
55229,20,1276,10,10,644,http,SF,tcp,7,11,211,1,0,321,0
55231,18,1152,10,8,644,http,SF,tcp,7,7,32,1,0,1701,0
55230,18,1152,10,8,644,eco_i,SF,icmp,1,25,4,1,0,0,1
55232,18,1152,10,8,644,other,SF,udp,3,1,255,0,0.67,0,0
55233,18,1152,10,8,644,private,S0,tcp,74,16,255,0.02,0.06,0,1
55234,18,1152,10,8,644,ftp_data,SF,tcp,1,1,53,0.25,0.09,0,0
55235,18,1152,10,8,644,hostnames,REJ,tcp,225,2,255,0.01,0.08,0,1
55236,18,1152,10,8,644,telnet,S0,tcp,66,16,255,0.2,0.04,0,1
55237,18,1152,10,8,644,ftp_data,SF,tcp,1,7,7,1,0,0,1
55240,20,1276,10,10,644,http,SF,tcp,7,7,255,1,0,420,0
55238,20,1276,10,10,644,eco_i,SF,icmp,1,35,1,1,0,0,1
55239,20,1276,10,10,644,smtp,S0,tcp,2,2,160,0.4,0.05,0,0
55241,20,1276,10,10,644,http,SF,tcp,4,4,54,1,0,1229,0
55242,20,1276,10,10,644,time,RSTR,tcp,1,1,255,0,0.16,0,1
55244,20,1276,10,10,644,ftp_data,SF,tcp,1,1,255,0.32,0.02,0,0
55243,20,1276,10,10,644,uucp,S0,tcp,139,13,255,0.05,0.07,0,1
55245,20,1276,10,10,644,http,SF,tcp,28,60,255,1,0,573,0
55248,18,1152,10,8,644,exec,RSTO,tcp,144,16,255,0.04,0.06,0,1
55249,18,1152,10,8,644,netbios_dgm,S0,tcp,241,19,255,0.07,0.07,0,1
55247,18,1152,10,8,644,http,SF,tcp,15,19,107,1,0,821,0
55246,18,1152,10,8,644,ecr_i,SF,icmp,213,213,255,1,0,0,1
55250,18,1152,10,8,644,eco_i,SF,icmp,1,45,1,1,0,0,1
55252,18,1152,10,8,644,private,REJ,tcp,36,1,255,0,0.47,0,1
55251,18,1152,10,8,644,private,SF,udp,3,2,255,0.94,0.01,146,0
55253,18,1152,10,8,644,private,S0,tcp,254,17,255,0.07,0.06,0,1
55255,20,1276,10,10,644,smtp,SF,tcp,1,2,202,0.58,0.02,327,0
55254,20,1276,10,10,644,telnet,S0,tcp,295,7,255,0.03,0.05,0,1
55256,20,1276,10,10,644,private,S0,tcp,171,3,255,0.05,0.07,0,1
55257,20,1276,10,10,644,Z39_50,S0,tcp,179,2,255,0.02,0.07,0,1
55258,20,1276,10,10,644,smtp,SF,tcp,2,1,255,0.04,0.6,326,0
55259,20,1276,10,10,644,http_443,S0,tcp,101,7,255,0.01,0.07,0,1
55260,20,1276,10,10,644,http,SF,tcp,9,9,255,1,0,765,0
55261,20,1276,10,10,644,http,SF,tcp,22,22,255,1,0,15455,0
55263,18,1152,10,8,644,http,SF,tcp,1,2,255,1,0,315,0
55265,18,1152,10,8,644,domain_u,SF,udp,8,8,255,0.14,0.03,0,0
55264,18,1152,10,8,644,private,REJ,tcp,2,1,255,0,0.6,0,1
55262,18,1152,10,8,644,private,RSTR,tcp,1,1,255,0,0.64,0,1
55267,18,1152,10,8,644,domain_u,SF,udp,195,197,255,0.92,0.01,70,0
55266,18,1152,10,8,644,http,SF,tcp,4,9,255,1,0,584,0
55268,18,1152,10,8,644,private,S0,tcp,260,9,255,0.03,0.07,0,1
55269,18,1152,10,8,644,http,SF,tcp,14,14,142,1,0,2844,0
55273,20,1276,10,10,644,smtp,SF,tcp,1,3,128,0.75,0.03,334,0
55270,20,1276,10,10,644,http,SF,tcp,10,10,69,1,0,5670,0
